State,Crop,Season,Area,Annual_Rainfall,Fertilizer,Pesticide,NDVI,Yield
Gujarat,Wheat,Rabi,6.391485721858886,1804.7746956516942,102.21010410569801,13.289818106650348,0.6313940211932996,83.36067214065619
Odisha,Rice,Whole Year,6.8503759526465355,2470.8243018093963,99.19753339794985,14.626018699148549,0.4211430723091145,74.85964066051174
West Bengal,Sugarcane,Rabi,1.6231265498663987,862.704153366055,210.6449789511352,5.235371576865978,0.7766060063912628,123.90862407737391
Maharashtra,Wheat,Rabi,5.047914057862654,1416.5003169665792,164.52067241893263,10.70919493004957,0.5153269728225174,78.96004884047603
Jharkhand,Maize,Whole Year,7.317992480486959,1407.1783996222912,248.07248833272556,1.1247789784044846,0.8739525320877266,84.24185668441191
Haryana,Rice,Rabi,2.637762649393606,1392.4010870355492,56.0331946731384,3.640841141623829,0.8962288849557476,91.4862110540468
West Bengal,Rice,Whole Year,7.345744450570299,1861.2169448810698,202.60296519014278,10.649841354462602,0.8496003255575058,95.22413274603073
Punjab,Rice,Rabi,12.944461371609204,1530.6733150387727,232.66800305996898,1.9224199504132595,0.35092604688968637,82.54099474082292
Gujarat,Maize,Whole Year,9.138494276150746,1583.12186364463,298.34652800716725,7.559140698877543,0.49990989329761615,75.30152697786258
Tripura,Maize,Whole Year,2.1050179705377725,1421.476385078853,219.69542355921172,10.276165701235284,0.8670825810615106,86.24400862815156
Nagaland,Cotton,Kharif,3.6833984636238406,2484.228975935269,107.96128913749158,11.723414398277242,0.7827199769066626,66.67621685765702
Sikkim,Wheat,Whole Year,7.643620902219787,2362.3665627561804,77.0465487200097,7.3534227921411865,0.8467101535844579,82.97542028409127
Jharkhand,Cotton,Whole Year,6.060820097505369,1184.6759597923049,210.22919366101885,9.823976552948803,0.6435319161846593,65.95833874642449
Jharkhand,Wheat,Rabi,6.022178273645382,812.0284570566677,180.79576687955398,8.554058813868858,0.5882385529125181,76.89686261125102
Tamil Nadu,Maize,Whole Year,8.409744274010261,2195.552975673346,274.7863221112541,1.7322808091664954,0.36389779020267066,66.47257416450205
Punjab,Maize,Kharif,9.181542902252403,2494.6234777088766,231.65200529531876,11.39926562163785,0.8036829253938595,81.34380390299317
Bihar,Cotton,Rabi,12.156061983866675,1155.9568986753266,177.43561251065518,3.4130668223952494,0.7470849290522872,71.2511995906673
Haryana,Sugarcane,Rabi,5.7735318884747855,1279.7913590993558,150.8973676912869,1.4452774372737787,0.33532596180924734,114.63472813066377
Tamil Nadu,Cotton,Kharif,12.276527962568215,2389.1030448218853,151.09367489270505,7.316350828037212,0.42564875375717126,57.777706570798635
Assam,Wheat,Rabi,5.740557207576855,1951.1460842058707,106.57607153780864,13.118926221941145,0.6343665379890062,78.10408804097742
Rajasthan,Cotton,Rabi,1.7760618451772736,1161.7128303813088,54.331492938924264,3.111612127254401,0.7106414412387833,66.07666156079331
Punjab,Rice,Rabi,8.758627114067076,1703.9883334394385,193.72764705177653,1.1800054776376498,0.3826021585566039,81.68081568608571
Arunachal Pradesh,Wheat,Rabi,9.230632548527403,2394.0362007920867,103.1036831308038,2.53970930071584,0.44689489107739433,72.6724545041364
Tamil Nadu,Wheat,Kharif,14.083563438706042,2142.4449031969793,102.08172943201036,6.091227600642494,0.41586612702540837,70.23418168291893
Karnataka,Sugarcane,Kharif,11.164858564874642,2009.4821560844534,81.34530716912012,9.122406179878253,0.43199829160232533,110.47775309926111
Goa,Maize,Rabi,13.848817134922154,2000.2929922813425,97.39887254417319,3.702169875802496,0.8524278741412601,81.84749748204004
